仿佛 彷彿
靠著称 靠著稱
靠著录 靠著錄
面包著 面包着
鞋里 鞋裏
鞭辟入里 鞭辟入裏
朝鲜战争 韓戰
響着 響著
頂着 頂著
順着 順著
頒布 頒佈
領着 領著
头里 頭裏
风里 風裏
颳着 颳著
飃着 飃著
飄着 飄著
餐台 餐枱
馆里 館裏
糊口 餬口
馬里蘭 馬利蘭
马拉特·萨芬 馬拉特·沙芬
馬斯垂克 馬斯特里赫特
馬爾地夫 馬爾代夫
馬利共和國 馬里共和國
駕着 駕著
騎着 騎著
騙着 騙著
驶着 驶著
体里 體裏
高畫質 高清
高着 高著
高著称 高著稱
斗着 鬥着
鬧着 鬧著
牛軋 鳥結
鳩占 鳩佔
麗着 麗著
麼着 麼著
芮氏0 黎克特制0
芮氏1 黎克特制1
芮氏2 黎克特制2
芮氏3 黎克特制3
芮氏4 黎克特制4
芮氏5 黎克特制5
芮氏6 黎克特制6
芮氏7 黎克特制7
芮氏8 黎克特制8
芮氏9 黎克特制9
芮氏地震規模 黎克特制地震震級
芮氏規模 黎克特制震級
里氏震级 黎克特制震級
黏着 黏著
蒙特內哥羅 黑山
點着 點著
点里 點裏
点里程 點里程
鼓里 鼓裏
㐷 傌
㐹 㑶
㐽 偑
㑇 㑳
㑈 倲
㑔 㑯
㑩 儸
㓥 劏
㔉 劚
㖊 噚
㖞 喎
㘎 㘚
㚯 㜄
㛀 媰
㛟 𡞵
㛠 𡢃
㛣 㜏
㛤 孋
㛿 𡠹
㟆 㠏
㟜 𡾱
㤘 㥮
㧏 掆
㧐 㩳
㧑 撝
㧟 擓
㧰 擽
㨫 㩜
㭎 棡
㭏 椲
㭣 𣙎
㭤 樢
㭴 樫
㱩 殰
㱮 殨
㲿 瀇
㳔 濧
㳠 澾
㳡 濄
㳢 𣾷
㳽 瀰
㶉 鸂
㶶 燶
㶽 煱
㺍 獱
㻅 璯
㻏 𤫩
㻘 𤪺
䀥 䁻
䁖 瞜
䂵 碽
䅉 稏
䅪 𥢢
䇲 筴
䉤 籔
䌶 䊷
䌷 紬
䌸 縳
䌹 絅
䌺 䋙
䌻 䋚
䌼 綐
䌽 綵
䌾 䋻
䌿 䋹
䍀 繿
䍁 繸
䎬 䎱
䏝 膞
䓖 藭
䗖 螮
䘛 𧝞
䘞 𧜗
䙊 𧜵
䙌 䙡
䙓 襬
䜣 訢
䜥 𧩙
䜧 䜀
䜩 讌
䝙 貙
䞌 𧵳
䞍 䝼
䞎 𧶧
䞐 賰
䟢 躎
䢀 𨊰
䢁 𨊸
䢂 𨋢
䥺 釾
䥽 鏺
䥾 䥱
䥿 𨯅
䦀 𨦫
䦁 𨧜
䦂 䥇
䦃 鐯
䦅 鐥
䦶 䦛
䦷 䦟
䭪 𩞯
䯃 𩣑
䯄 騧
䯅 䯀
䲝 䱽
䲞 𩶘
䲟 鮣
䲠 鰆
䲡 鰌
䲢 鰧
䲣 䱷
䴓 鳾
䴔 鵁
䴕 鴷
䴖 鶄
䴗 鶪
䴘 鷈
䴙 鷿
䶮 龑
万 萬
与 與
专 專
业 業
丛 叢
东 東
丝 絲
丢 丟
两 兩
严 嚴
丧 喪
个 個
丰 豐
临 臨
为 為
丽 麗
举 舉
么 麼
义 義
乌 烏
乐 樂
乔 喬
习 習
乡 鄉
书 書
买 買
乱 亂
争 爭
于 於
亏 虧
云 雲
亚 亞
产 產
亩 畝
亲 親
亵 褻
亸 嚲
亿 億
仅 僅
从 從
仑 侖
仓 倉
仪 儀
们 們
价 價
众 眾
优 優
会 會
伛 傴
伞 傘
伟 偉
传 傳
伡 俥
伣 俔
伤 傷
伥 倀
伦 倫
伧 傖
伪 偽
伫 佇
体 體
佣 傭
佥 僉
侠 俠
侣 侶
侥 僥
侦 偵
侧 側
侨 僑
侩 儈
侪 儕
侬 儂
俣 俁
俦 儔
俨 儼
俩 倆
俪 儷
俫 倈
俭 儉
债 債
倾 傾
偬 傯
偻 僂
偾 僨
偿 償
傥 儻
傧 儐
储 儲
傩 儺
儿 兒
兑 兌
兖 兗
党 黨
兰 蘭
关 關
兴 興
兹 茲
养 養
兽 獸
冁 囅
内 內
冈 岡
册 冊
写 寫
军 軍
农 農
冯 馮
冲 沖
决 決
况 況
冻 凍
净 淨
凄 淒
凉 涼
减 減
凑 湊
凛 凜
几 幾
凤 鳳
凫 鳧
凭 憑
凯 凱
击 擊
凿 鑿
刍 芻
划 劃
刘 劉
则 則
刚 剛
创 創
删 刪
别 別
刬 剗
刭 剄
刹 剎
刽 劊
刾 㓨
刿 劌
剀 剴
剂 劑
剐 剮
剑 劍
剥 剝
剧 劇
劝 勸
办 辦
务 務
劢 勱
动 動
励 勵
劲 勁
劳 勞
势 勢
勋 勛
勚 勩
匀 勻
匦 匭
匮 匱
区 區
医 醫
华 華
协 協
单 單
卖 賣
卢 盧
卤 鹵
卧 臥
卫 衛
却 卻
厂 廠
厅 廳
历 歷
厉 厲
压 壓
厌 厭
厍 厙
厐 龎
厕 廁
厢 廂
厣 厴
厦 廈
厨 廚
厩 廄
厮 廝
县 縣
叁 叄
参 參
叆 靉
叇 靆
双 雙
发 發
变 變
叙 敘
叠 疊
叶 葉
号 號
叹 嘆
叽 嘰
后 後
吓 嚇
吕 呂
吗 嗎
吣 唚
吨 噸
听 聽
启 啟
吴 吳
呐 吶
呒 嘸
呓 囈
呕 嘔
呖 嚦
呗 唄
员 員
呙 咼
呛 嗆
呜 嗚
咏 詠
咙 嚨
咛 嚀
咝 噝
响 響
哑 啞
哒 噠
哓 嘵
哔 嗶
哕 噦
哗 嘩
哙 噲
哜 嚌
哝 噥
哟 喲
唛 嘜
唝 嗊
唠 嘮
唡 啢
唢 嗩
唤 喚
啧 嘖
啬 嗇
啭 囀
啮 齧
啯 嘓
啰 囉
啴 嘽
啸 嘯
喂 餵
喷 噴
喽 嘍
喾 嚳
嗫 囁
嗳 噯
嘘 噓
嘤 嚶
嘱 囑
噜 嚕
嚣 囂
团 團
园 園
囱 囪
围 圍
囵 圇
国 國
图 圖
圆 圓
圣 聖
圹 壙
场 場
坏 壞
块 塊
坚 堅
坛 壇
坜 壢
坝 壩
坞 塢
坟 墳
坠 墜
垄 壟
垅 壠
垆 壚
垒 壘
垦 墾
垩 堊
垫 墊
垭 埡
垱 壋
垲 塏
埘 塒
埙 塤
埚 堝
堑 塹
堕 墮
墙 牆
壮 壯
声 聲
壳 殼
壶 壺
壸 壼
处 處
备 備
复 復
够 夠
头 頭
夹 夾
夺 奪
奁 奩
奂 奐
奋 奮
奖 獎
奥 奧
妆 妝
妇 婦
妈 媽
妩 嫵
妪 嫗
妫 媯
姗 姍
姹 奼
娄 婁
娅 婭
娆 嬈
娇 嬌
娈 孌
娱 娛
娲 媧
娴 嫻
婳 嫿
婴 嬰
婵 嬋
婶 嬸
媪 媼
媭 嬃
嫒 嬡
嫔 嬪
嫱 嬙
嬷 嬤
孙 孫
学 學
孪 孿
宁 寧
宝 寶
实 實
宠 寵
审 審
宪 憲
宫 宮
宽 寬
宾 賓
寝 寢
对 對
寻 尋
导 導
寿 壽
将 將
尔 爾
尘 塵
尝 嘗
尧 堯
尴 尷
尸 屍
尽 盡
层 層
屃 屓
屉 屜
届 屆
属 屬
屡 屢
屦 屨
屿 嶼
岁 歲
岂 豈
岖 嶇
岗 崗
岘 峴
岚 嵐
岛 島
岭 嶺
岽 崬
岿 巋
峃 嶨
峄 嶧
峡 峽
峣 嶢
峤 嶠
峥 崢
峦 巒
崂 嶗
崃 崍
崄 嶮
崭 嶄
嵘 嶸
嵚 嶔
嵝 嶁
巅 巔
巩 鞏
巯 巰
币 幣
帅 帥
师 師
帏 幃
帐 帳
帘 簾
帜 幟
带 帶
帧 幀
帮 幫
帱 幬
帻 幘
帼 幗
幂 冪
并 並
广 廣
庄 莊
庆 慶
庐 廬
庑 廡
库 庫
应 應
庙 廟
庞 龐
废 廢
庼 廎
廪 廩
开 開
异 異
弃 棄
弑 弒
张 張
弥 彌
弪 弳
弯 彎
弹 彈
强 強
归 歸
当 當
录 錄
彟 彠
彦 彥
彨 彲
彻 徹
径 徑
徕 徠
忆 憶
忏 懺
忧 憂
忾 愾
怀 懷
态 態
怂 慫
怃 憮
怄 慪
怅 悵
怆 愴
怜 憐
总 總
怼 懟
怿 懌
恋 戀
恒 恆
恳 懇
恶 惡
恸 慟
恹 懨
恺 愷
恻 惻
恼 惱
恽 惲
悦 悅
悫 愨
悬 懸
悭 慳
悮 悞
悯 憫
惊 驚
惧 懼
惨 慘
惩 懲
惫 憊
惬 愜
惭 慚
惮 憚
惯 慣
愠 慍
愤 憤
愦 憒
愿 願
慑 懾
懑 懣
懒 懶
懔 懍
戆 戇
戋 戔
戏 戲
戗 戧
战 戰
戬 戩
戯 戱
户 戶
扑 撲
执 執
扩 擴
扪 捫
扫 掃
扬 揚
扰 擾
抚 撫
抛 拋
抟 摶
抠 摳
抡 掄
抢 搶
护 護
报 報
担 擔
拟 擬
拢 攏
拣 揀
拥 擁
拦 攔
拧 擰
拨 撥
择 擇
挂 掛
挚 摯
挛 攣
挜 掗
挝 撾
挞 撻
挟 挾
挠 撓
挡 擋
挢 撟
挣 掙
挤 擠
挥 揮
挦 撏
捝 挩
捞 撈
损 損
捡 撿
换 換
捣 搗
据 據
掳 擄
掴 摑
掷 擲
掸 撣
掺 摻
掼 摜
揽 攬
揾 搵
揿 撳
搀 攙
搁 擱
搂 摟
搅 攪
携 攜
摄 攝
摅 攄
摆 擺
摇 搖
摈 擯
摊 攤
撄 攖
撑 撐
撵 攆
撷 擷
撸 擼
撺 攛
擞 擻
攒 攢
敌 敵
敛 斂
敩 斆
数 數
斋 齋
斓 斕
斩 斬
断 斷
无 無
旧 舊
时 時
旷 曠
旸 暘
昙 曇
昼 晝
昽 曨
显 顯
晋 晉
晒 曬
晓 曉
晔 曄
晕 暈
晖 暉
暂 暫
暧 曖
术 術
机 機
杀 殺
杂 雜
权 權
杠 槓
条 條
来 來
杨 楊
杩 榪
杰 傑
极 極
构 構
枞 樅
枢 樞
枣 棗
枥 櫪
枧 梘
枨 棖
枪 槍
枫 楓
枭 梟
柜 櫃
柠 檸
柽 檉
栀 梔
栅 柵
标 標
栈 棧
栉 櫛
栊 櫳
栋 棟
栌 櫨
栎 櫟
栏 欄
树 樹
栖 棲
样 樣
栾 欒
桠 椏
桡 橈
桢 楨
档 檔
桤 榿
桥 橋
桦 樺
桧 檜
桨 槳
桩 樁
桪 樳
梦 夢
梼 檮
梾 棶
梿 槤
检 檢
棁 梲
棂 欞
椁 槨
椝 槼
椟 櫝
椠 槧
椢 槶
椤 欏
椫 樿
椭 橢
椮 槮
楼 樓
榄 欖
榅 榲
榇 櫬
榈 櫚
榉 櫸
槚 檟
槛 檻
槟 檳
槠 櫧
横 橫
樯 檣
樱 櫻
橥 櫫
橱 櫥
橹 櫓
橼 櫞
檩 檁
欢 歡
欤 歟
欧 歐
歼 殲
殁 歿
殇 殤
残 殘
殒 殞
殓 殮
殚 殫
殡 殯
殴 毆
毁 毀
毂 轂
毕 畢
毙 斃
毡 氈
毵 毿
氇 氌
气 氣
氢 氫
氩 氬
氲 氳
汇 匯
汉 漢
汤 湯
汹 洶
沟 溝
没 沒
沣 灃
沤 漚
沥 瀝
沦 淪
沧 滄
沨 渢
沩 溈
沪 滬
泞 濘
泪 淚
泶 澩
泷 瀧
泸 瀘
泺 濼
泻 瀉
泼 潑
泽 澤
泾 涇
洁 潔
洒 灑
洼 窪
浃 浹
浅 淺
浆 漿
浇 澆
浈 湞
浉 溮
浊 濁
测 測
浍 澮
济 濟
浏 瀏
浐 滻
浑 渾
浒 滸
浓 濃
浔 潯
浕 濜
涂 塗
涛 濤
涝 澇
涞 淶
涟 漣
涠 潿
涡 渦
涢 溳
涣 渙
涤 滌
润 潤
涧 澗
涨 漲
涩 澀
渊 淵
渌 淥
渍 漬
渎 瀆
渐 漸
渑 澠
渔 漁
渖 瀋
渗 滲
温 溫
湾 灣
湿 濕
溃 潰
溅 濺
溆 漵
溇 漊
滗 潷
滚 滾
滞 滯
滟 灩
滠 灄
满 滿
滢 瀅
滤 濾
滥 濫
滦 灤
滨 濱
滩 灘
滪 澦
漤 灠
潆 瀠
潇 瀟
潋 瀲
潍 濰
潜 潛
潴 瀦
澛 瀂
澜 瀾
濑 瀨
濒 瀕
灏 灝
灭 滅
灯 燈
灵 靈
灾 災
灿 燦
炀 煬
炉 爐
炖 燉
炜 煒
炝 熗
点 點
炼 煉
炽 熾
烁 爍
烂 爛
烃 烴
烛 燭
烟 煙
烦 煩
烧 燒
烨 燁
烩 燴
烫 燙
烬 燼
热 熱
焕 煥
焖 燜
焘 燾
煴 熅
爱 愛
爷 爺
牍 牘
牦 氂
牵 牽
牺 犧
犊 犢
状 狀
犷 獷
犸 獁
犹 猶
狈 狽
狝 獮
狞 獰
独 獨
狭 狹
狮 獅
狯 獪
狰 猙
狱 獄
狲 猻
猃 獫
猎 獵
猕 獼
猡 玀
猪 豬
猫 貓
猬 蝟
献 獻
獭 獺
玑 璣
玙 璵
玚 瑒
玛 瑪
玮 瑋
环 環
现 現
玱 瑲
玺 璽
珐 琺
珑 瓏
珰 璫
珲 琿
琎 璡
琏 璉
琐 瑣
琼 瓊
瑶 瑤
瑷 璦
瑸 璸
璎 瓔
瓒 瓚
瓯 甌
电 電
画 畫
畅 暢
畴 疇
疖 癤
疗 療
疟 瘧
疠 癘
疡 瘍
疬 癧
疭 瘲
疮 瘡
疯 瘋
疱 皰
痈 癰
痉 痙
痒 癢
痖 瘂
痨 癆
痪 瘓
痫 癇
痳 痲
瘅 癉
瘆 瘮
瘗 瘞
瘘 瘺
瘪 癟
瘫 癱
瘾 癮
瘿 癭
癞 癩
癣 癬
癫 癲
皑 皚
皱 皺
皲 皸
盏 盞
盐 鹽
监 監
盖 蓋
盗 盜
盘 盤
眍 瞘
眦 眥
眬 矓
睁 睜
睐 睞
睑 瞼
瞆 瞶
瞒 瞞
瞩 矚
矫 矯
矶 磯
矾 礬
矿 礦
砀 碭
码 碼
砖 磚
砗 硨
砚 硯
砜 碸
砺 礪
砻 礱
砾 礫
础 礎
硁 硜
硕 碩
硖 硤
硗 磽
硙 磑
硚 礄
确 確
硵 磠
硷 鹼
碍 礙
碛 磧
碜 磣
碱 鹼
礼 禮
祃 禡
祎 禕
祢 禰
祯 禎
祷 禱
祸 禍
禀 稟
禄 祿
禅 禪
离 離
秃 禿
秆 稈
种 種
积 積
称 稱
秽 穢
秾 穠
稆 穭
税 稅
稣 穌
稳 穩
穑 穡
穷 窮
窃 竊
窍 竅
窎 窵
窑 窯
窜 竄
窝 窩
窥 窺
窦 竇
窭 窶
竖 豎
竞 競
笃 篤
笋 筍
笔 筆
笕 筧
笺 箋
笼 籠
笾 籩
筑 築
筚 篳
筛 篩
筜 簹
筝 箏
筹 籌
筼 篔
签 簽
简 簡
箓 籙
箦 簀
箧 篋
箨 籜
箩 籮
箪 簞
箫 簫
篑 簣
篓 簍
篮 籃
篯 籛
篱 籬
簖 籪
籁 籟
籴 糴
类 類
籼 秈
粜 糶
粝 糲
粤 粵
粪 糞
粮 糧
糁 糝
糇 餱
紧 緊
絷 縶
纟 糹
纠 糾
纡 紆
红 紅
纣 紂
纤 纖
纥 紇
约 約
级 級
纨 紈
纩 纊
纪 紀
纫 紉
纬 緯
纭 紜
纮 紘
纯 純
纰 紕
纱 紗
纲 綱
纳 納
纴 紝
纵 縱
纶 綸
纷 紛
纸 紙
纹 紋
纺 紡
纻 紵
纼 紖
纽 紐
纾 紓
线 線
绀 紺
绁 紲
绂 紱
练 練
组 組
绅 紳
细 細
织 織
终 終
绉 縐
绊 絆
绋 紼
绌 絀
绍 紹
绎 繹
经 經
绐 紿
绑 綁
绒 絨
结 結
绔 絝
绕 繞
绖 絰
绗 絎
绘 繪
给 給
绚 絢
绛 絳
络 絡
绝 絕
绞 絞
统 統
绠 綆
绡 綃
绢 絹
绣 繡
绤 綌
绥 綏
绦 絛
继 繼
绨 綈
绩 績
绪 緒
绫 綾
绬 緓
续 續
绮 綺
绯 緋
绰 綽
绱 鞝
绲 緄
绳 繩
维 維
绵 綿
绶 綬
绷 繃
绸 綢
绹 綯
绺 綹
绻 綣
综 綜
绽 綻
绾 綰
绿 綠
缀 綴
缁 緇
缂 緙
缃 緗
缄 緘
缅 緬
缆 纜
缇 緹
缈 緲
缉 緝
缊 縕
缋 繢
缌 緦
缍 綞
缎 緞
缏 緶
缐 線
缑 緱
缒 縋
缓 緩
缔 締
缕 縷
编 編
缗 緡
缘 緣
缙 縉
缚 縛
缛 縟
缜 縝
缝 縫
缞 縗
缟 縞
缠 纏
缡 縭
缢 縊
缣 縑
缤 繽
缥 縹
缦 縵
缧 縲
缨 纓
缩 縮
缪 繆
缫 繅
缬 纈
缭 繚
缮 繕
缯 繒
缰 韁
缱 繾
缲 繰
缳 繯
缴 繳
缵 纘
罂 罌
网 網
罗 羅
罚 罰
罢 罷
罴 羆
羁 羈
羟 羥
羡 羨
翘 翹
翙 翽
翚 翬
耢 耮
耧 耬
耸 聳
耻 恥
聂 聶
聋 聾
职 職
聍 聹
联 聯
聩 聵
聪 聰
肃 肅
肠 腸
肤 膚
肮 骯
肴 餚
肾 腎
肿 腫
胀 脹
胁 脅
胆 膽
胜 勝
胧 朧
胨 腖
胪 臚
胫 脛
胶 膠
脉 脈
脍 膾
脏 髒
脐 臍
脑 腦
脓 膿
脔 臠
脚 腳
脱 脫
脶 腡
脸 臉
腊 臘
腌 醃
腘 膕
腭 齶
腻 膩
腼 靦
腽 膃
腾 騰
膑 臏
臜 臢
舆 輿
舣 艤
舰 艦
舱 艙
舻 艫
艰 艱
艳 艷
艺 藝
节 節
芈 羋
芗 薌
芜 蕪
芦 蘆
苁 蓯
苇 葦
苈 藶
苋 莧
苌 萇
苍 蒼
苎 苧
苏 蘇
苧 薴
茎 莖
茏 蘢
茑 蔦
茔 塋
茕 煢
茧 繭
荆 荊
荐 薦
荙 薘
荚 莢
荛 蕘
荜 蓽
荝 萴
荞 蕎
荟 薈
荠 薺
荡 盪
荣 榮
荤 葷
荥 滎
荦 犖
荧 熒
荨 蕁
荩 藎
荪 蓀
荫 蔭
荬 蕒
荭 葒
荮 葤
药 藥
莅 蒞
莱 萊
莲 蓮
莳 蒔
莴 萵
莶 薟
获 獲
莸 蕕
莹 瑩
莺 鶯
莼 蓴
萚 蘀
萝 蘿
萤 螢
营 營
萦 縈
萧 蕭
萨 薩
葱 蔥
蒇 蕆
蒉 蕢
蒋 蔣
蒌 蔞
蓝 藍
蓟 薊
蓠 蘺
蓣 蕷
蓥 鎣
蓦 驀
蔂 虆
蔷 薔
蔹 蘞
蔺 藺
蔼 藹
蕰 薀
蕲 蘄
蕴 蘊
薮 藪
藓 蘚
蘖 櫱
虏 虜
虑 慮
虚 虛
虫 蟲
虮 蟣
虽 雖
虾 蝦
虿 蠆
蚀 蝕
蚁 蟻
蚂 螞
蚃 蠁
蚕 蠶
蚬 蜆
蛊 蠱
蛎 蠣
蛏 蟶
蛮 蠻
蛰 蟄
蛱 蛺
蛲 蟯
蛳 螄
蛴 蠐
蜕 蛻
蜗 蝸
蜡 蠟
蝇 蠅
蝈 蟈
蝉 蟬
蝎 蠍
蝼 螻
蝾 蠑
螀 螿
螨 蟎
蟏 蠨
衅 釁
衔 銜
补 補
衬 襯
衮 袞
袄 襖
袅 裊
袆 褘
袜 襪
袭 襲
袯 襏
装 裝
裆 襠
裈 褌
裢 褳
裣 襝
裤 褲
裥 襉
褛 褸
褴 襤
襕 襴
见 見
观 觀
觃 覎
规 規
觅 覓
视 視
觇 覘
览 覽
觉 覺
觊 覬
觋 覡
觌 覿
觍 覥
觎 覦
觏 覯
觐 覲
觑 覷
觞 觴
触 觸
觯 觶
訚 誾
詟 讋
誉 譽
誊 謄
讠 訁
计 計
订 訂
讣 訃
认 認
讥 譏
讦 訐
讧 訌
讨 討
让 讓
讪 訕
讫 訖
讬 託
训 訓
议 議
讯 訊
记 記
讱 訒
讲 講
讳 諱
讴 謳
讵 詎
讶 訝
讷 訥
许 許
讹 訛
论 論
讻 訩
讼 訟
讽 諷
设 設
访 訪
诀 訣
证 證
诂 詁
诃 訶
评 評
诅 詛
识 識
诇 詗
诈 詐
诉 訴
诊 診
诋 詆
诌 謅
词 詞
诎 詘
诏 詔
诐 詖
译 譯
诒 詒
诓 誆
诔 誄
试 試
诖 詿
诗 詩
诘 詰
诙 詼
诚 誠
诛 誅
诜 詵
话 話
诞 誕
诟 詬
诠 詮
诡 詭
询 詢
诣 詣
诤 諍
该 該
详 詳
诧 詫
诨 諢
诩 詡
诪 譸
诫 誡
诬 誣
语 語
诮 誚
误 誤
诰 誥
诱 誘
诲 誨
诳 誑
说 說
诵 誦
诶 誒
请 請
诸 諸
诹 諏
诺 諾
读 讀
诼 諑
诽 誹
课 課
诿 諉
谀 諛
谁 誰
谂 諗
调 調
谄 諂
谅 諒
谆 諄
谇 誶
谈 談
谊 誼
谋 謀
谌 諶
谍 諜
谎 謊
谏 諫
谐 諧
谑 謔
谒 謁
谓 謂
谔 諤
谕 諭
谖 諼
谗 讒
谘 諮
谙 諳
谚 諺
谛 諦
谜 謎
谝 諞
谞 諝
谟 謨
谠 讜
谡 謖
谢 謝
谣 謠
谤 謗
谥 諡
谦 謙
谧 謐
谨 謹
谩 謾
谪 謫
谫 譾
谬 謬
谭 譚
谮 譖
谯 譙
谰 讕
谱 譜
谲 譎
谳 讞
谴 譴
谵 譫
谶 讖
豮 豶
贝 貝
贞 貞
负 負
贠 貟
贡 貢
财 財
责 責
贤 賢
败 敗
账 賬
货 貨
质 質
贩 販
贪 貪
贫 貧
贬 貶
购 購
贮 貯
贯 貫
贰 貳
贱 賤
贲 賁
贳 貰
贴 貼
贵 貴
贶 貺
贷 貸
贸 貿
费 費
贺 賀
贻 貽
贼 賊
贽 贄
贾 賈
贿 賄
赀 貲
赁 賃
赂 賂
赃 贓
资 資
赅 賅
赆 贐
赇 賕
赈 賑
赉 賚
赊 賒
赋 賦
赌 賭
赍 齎
赎 贖
赏 賞
赐 賜
赑 贔
赒 賙
赓 賡
赔 賠
赕 賧
赖 賴
赗 賵
赘 贅
赙 賻
赚 賺
赛 賽
赜 賾
赝 贗
赞 贊
赟 贇
赠 贈
赡 贍
赢 贏
赣 贛
赪 赬
赵 趙
赶 趕
趋 趨
趱 趲
趸 躉
跃 躍
跄 蹌
跞 躒
践 踐
跶 躂
跷 蹺
跸 蹕
跹 躚
跻 躋
踊 踴
踌 躊
踪 蹤
踬 躓
踯 躑
蹑 躡
蹒 蹣
蹰 躕
蹿 躥
躏 躪
躜 躦
躯 軀
车 車
轧 軋
轨 軌
轩 軒
轪 軑
轫 軔
转 轉
轭 軛
轮 輪
软 軟
轰 轟
轱 軲
轲 軻
轳 轤
轴 軸
轵 軹
轶 軼
轷 軤
轸 軫
轹 轢
轺 軺
轻 輕
轼 軾
载 載
轾 輊
轿 轎
辀 輈
辁 輇
辂 輅
较 較
辄 輒
辅 輔
辆 輛
辇 輦
辈 輩
辉 輝
辊 輥
辋 輞
辌 輬
辍 輟
辎 輜
辏 輳
辐 輻
辑 輯
辒 轀
输 輸
辔 轡
辕 轅
辖 轄
辗 輾
辘 轆
辙 轍
辚 轔
辞 辭
辩 辯
辫 辮
边 邊
辽 遼
达 達
迁 遷
过 過
迈 邁
运 運
还 還
这 這
进 進
远 遠
违 違
连 連
迟 遲
迩 邇
迳 逕
迹 跡
适 適
选 選
逊 遜
递 遞
逦 邐
逻 邏
遗 遺
遥 遙
邓 鄧
邝 鄺
邬 鄔
邮 郵
邹 鄒
邺 鄴
邻 鄰
郏 郟
郐 鄶
郑 鄭
郓 鄆
郦 酈
郧 鄖
郸 鄲
酂 酇
酝 醞
酦 醱
酱 醬
酽 釅
酾 釃
酿 釀
释 釋
鉴 鑒
銮 鑾
錾 鏨
钅 釒
钆 釓
钇 釔
针 針
钉 釘
钊 釗
钋 釙
钌 釕
钍 釷
钎 釺
钏 釧
钐 釤
钑 鈒
钒 釩
钓 釣
钔 鍆
钕 釹
钖 鍚
钗 釵
钘 鈃
钙 鈣
钚 鈈
钛 鈦
钜 鉅
钝 鈍
钞 鈔
钟 鍾
钠 鈉
钡 鋇
钢 鋼
钣 鈑
钤 鈐
钥 鑰
钦 欽
钧 鈞
钨 鎢
钩 鈎
钪 鈧
钫 鈁
钬 鈥
钭 鈄
钮 鈕
钯 鈀
钰 鈺
钱 錢
钲 鉦
钳 鉗
钴 鈷
钵 缽
钶 鈳
钷 鉕
钸 鈽
钹 鈸
钺 鉞
钻 鑽
钼 鉬
钽 鉭
钾 鉀
钿 鈿
铀 鈾
铁 鐵
铂 鉑
铃 鈴
铄 鑠
铅 鉛
铆 鉚
铇 鉋
铈 鈰
铉 鉉
铊 鉈
铋 鉍
铌 鈮
铍 鈹
铎 鐸
铏 鉶
铐 銬
铑 銠
铒 鉺
铓 鋩
铔 錏
铕 銪
铖 鋮
铗 鋏
铘 鋣
铙 鐃
铚 銍
铛 鐺
铜 銅
铝 鋁
铞 銱
铟 銦
铠 鎧
铡 鍘
铢 銖
铣 銑
铤 鋌
铥 銩
铦 銛
铧 鏵
铨 銓
铩 鎩
铪 鉿
铫 銚
铬 鉻
铭 銘
铮 錚
铯 銫
铰 鉸
铱 銥
铲 鏟
铳 銃
铴 鐋
铵 銨
银 銀
铷 銣
铸 鑄
铹 鐒
铺 鋪
铻 鋙
铼 錸
铽 鋱
链 鏈
铿 鏗
销 銷
锁 鎖
锂 鋰
锃 鋥
锄 鋤
锅 鍋
锆 鋯
锇 鋨
锈 銹
锉 銼
锊 鋝
锋 鋒
锌 鋅
锍 鋶
锎 鐦
锏 鐧
锐 銳
锑 銻
锒 鋃
锓 鋟
锔 鋦
锕 錒
锖 錆
锗 鍺
锘 鍩
错 錯
锚 錨
锛 錛
锜 錡
锝 鍀
锞 錁
锟 錕
锠 錩
锡 錫
锢 錮
锣 鑼
锤 錘
锥 錐
锦 錦
锧 鑕
锨 杴
锩 錈
锪 鍃
锫 錇
锬 錟
锭 錠
键 鍵
锯 鋸
锰 錳
锱 錙
锲 鍥
锳 鍈
锴 鍇
锵 鏘
锶 鍶
锷 鍔
锸 鍤
锹 鍬
锺 鍾
锻 鍛
锼 鎪
锽 鍠
锾 鍰
锿 鎄
镀 鍍
镁 鎂
镂 鏤
镃 鎡
镄 鐨
镅 鎇
镆 鏌
镇 鎮
镈 鎛
镉 鎘
镊 鑷
镋 钂
镌 鐫
镍 鎳
镎 鎿
镏 鎦
镐 鎬
镑 鎊
镒 鎰
镓 鎵
镔 鑌
镕 鎔
镖 鏢
镗 鏜
镘 鏝
镙 鏍
镚 鏰
镛 鏞
镜 鏡
镝 鏑
镞 鏃
镟 鏇
镠 鏐
镡 鐔
镢 钁
镣 鐐
镤 鏷
镥 鑥
镦 鐓
镧 鑭
镨 鐠
镩 鑹
镪 鏹
镫 鐙
镬 鑊
镭 鐳
镮 鐶
镯 鐲
镰 鐮
镱 鐿
镲 鑔
镳 鑣
镴 鑞
镵 鑱
镶 鑲
长 長
门 門
闩 閂
闪 閃
闫 閆
闬 閈
闭 閉
问 問
闯 闖
闰 閏
闱 闈
闲 閒
闳 閎
间 間
闵 閔
闶 閌
闷 悶
闸 閘
闹 鬧
闺 閨
闻 聞
闼 闥
闽 閩
闾 閭
闿 闓
阀 閥
阁 閣
阂 閡
阃 閫
阄 鬮
阅 閱
阆 閬
阇 闍
阈 閾
阉 閹
阊 閶
阋 鬩
阌 閿
阍 閽
阎 閻
阏 閼
阐 闡
阑 闌
阒 闃
阓 闠
阔 闊
阕 闋
阖 闔
阗 闐
阘 闒
阙 闕
阚 闞
阛 闤
队 隊
阳 陽
阴 陰
