，。	。
的追究着	地追究着
的追求过	地追求过
的追求了	地追求了
的追求着	地追求着
的追认过	地追认过
的追认了	地追认了
的追认着	地追认着
的追上过	地追上过
的追上了	地追上了
的追上着	地追上着
的追随过	地追随过
的追随了	地追随了
的追随着	地追随着
的追问过	地追问过
的追问了	地追问了
的追问着	地追问着
的琢磨着	地琢磨着
的走出	地走出
的走出过	地走出过
的走出了	地走出了
的走出着	地走出着
的走到过	地走到过
的走到了	地走到了
的走到着	地走到着
的走访过	地走访过
的走访了	地走访了
的走访着	地走访着
的走过	地走过
的走进过	地走进过
的走进了	地走进了
的走进着	地走进着
的走来过	地走来过
的走来了	地走来了
的走来着	地走来着
的走了	地走了
的走漏过	地走漏过
的走漏了	地走漏了
的走漏着	地走漏着
的走私过	地走私过
的走私了	地走私了
的走私着	地走私着
的走向过	地走向过
的走向了	地走向了
的走向着	地走向着
的走着	地走着
的租着	地租着
的阻碍过	地阻碍过
的阻碍了	地阻碍了
的阻碍着	地阻碍着
的阻挡过	地阻挡过
的阻挡了	地阻挡了
的阻挡着	地阻挡着
的阻拦过	地阻拦过
的阻拦了	地阻拦了
的阻拦着	地阻拦着
的阻挠过	地阻挠过
的阻挠了	地阻挠了
的阻挠着	地阻挠着
的阻止过	地阻止过
的阻止了	地阻止了
的阻止着	地阻止着
的嘬着	地嘬着
的作案过	地作案过
的作案了	地作案了
的作案着	地作案着
的作出过	地作出过
的作出了	地作出了
的作出着	地作出着
的作废过	地作废过
的作废了	地作废了
的作废着	地作废着
的作了	地做了
的作战过	地作战过
的作战了	地作战了
的作战着	地作战着
的作着	地做着
的坐着	地坐着
的做出过	地做出过
的做出了	地做出了
的做出着	地做出着
的做着	地做着
的做主过	地做主过
的做主了	地做主了
灯心	灯芯
登子	凳子
蹬门	登门
等罢	等吧
等侯	等候
等侍	等待
等他罢	等他吧
等着瞧罢	等着瞧吧
瞪的	瞪得
低徊	低回
低炭	低碳
低头服罪	低头伏罪
嘀里嘟噜	滴里嘟噜
滴搭	滴答
滴嗒	滴答
诋砺	砥砺
抵毁	诋毁
底毁	诋毁
砥毁	诋毁
地大物搏	地大物博
地干罢	地干吧
第子	弟子
掂斤拨两	掂斤播两
掂起	踮起
颠跛	颠簸
颠侧	颠倒
颠峰	巅峰
颠复	颠覆
颠狂	癫狂
颠破流离	颠沛流离
点罢	点吧
点腊	点蜡
点帐	点账
电线秆	电线杆
坫污	玷污
玷玷自喜	沾沾自喜
玷亲带故	沾亲带故
垫后	殿后
殿部	臀部
凋蔽	凋敝
凋弊	凋敝
凋虫小技	雕虫小技
貂婵	貂蝉
雕敝	凋敝
雕弊	凋敝
雕彻	雕砌
雕虫小计	雕虫小技
雕零	凋零
雕落	凋落
雕象	雕像
雕谢	凋谢
屌丝	潦倒者
吊而郎当	吊儿郎当
吊虎离山	调虎离山
吊泪	掉泪
吊名堂	屌名堂
吊以轻心	掉以轻心
钓消	吊销
钓渔	钓鱼
掉包	调包
掉兵	调兵
掉虎离山	调虎离山
掉换	调换
跌荡	跌宕
跌跌闯闯	跌跌撞撞
跌交	跌跤
迭床架屋	叠床架屋
迭宕	跌宕
迭得	叠得
谍谍不休	喋喋不休
叠挫强敌	迭挫强敌
蹀血	喋血
丁丁当当	叮叮当当
丁零零	丁铃铃
丁宁	叮咛
叮铛	叮当
叮瞩	叮嘱
盯哨	盯梢
顶罢	顶吧
顶极	顶级
顶力	鼎力
顶壮	顶撞
鼎立相助	鼎力相助
钉梢	盯梢
定罢	定吧
定单	订单
定户	订户
定婚	订婚
定货	订货
定晴	定睛
定阅	订阅
定作	定做
丢人显眼	丢人现眼
丢三拉四	丢三落四
丢世	去世
东奔西闯	东奔西撞
东不拉	冬不拉
东麟西爪	东鳞西爪
东施效频	东施效颦
东酉	东西
咚咚的响	咚咚地响
懂的可	懂得可
懂的真	懂得真
懂么	懂吗
动罢	动吧
动手罢	动手吧
动则	动辄
侗吓	恫吓
洞吓	恫吓
都象	都像
枓拱	斗拱
枓栱	斗拱
陡削	陡峭
斗罢	斗吧
斗欧	斗殴
斗蓬	斗篷
斗趣儿	逗趣儿
豆冠	豆蔻
豆寇	豆蔻
荳芽	豆芽
逗遛	逗留
逗嘴	斗嘴
嘟嚷	嘟囔
独出心材	独出心裁
独出心栽	独出心裁
独出新裁	独出心裁
独挡一面	独当一面
独道	独到
独道之处	独到之处
独脚戏	独角戏
独力	独立
独劈蹊径	独辟蹊径
独辟溪径	独辟蹊径
独书己见	独抒己见
独占熬头	独占鳌头
独占螯头	独占鳌头
独占鳖头	独占鳌头
渎罪	赎罪
堵绝	杜绝
堵气	赌气
堵球	赌球
赌搏	赌博
度过困难	渡过困难
度过难关	渡过难关
度河	渡河
度量大	肚量大
渡假	度假
渡日如年	度日如年
端五	端午
短裂	断裂
短小精干	短小精悍
断壁残桓	断壁残垣
断桓残壁	断垣残壁
断章取意	断章取义
煅造	锻造
锻练	锻炼
队么	队吗
队伍象	队伍像
队象	对像
对罢	对吧
对薄公堂	对簿公堂
对的起	对得住
对的住	对得住
对恃	对峙
对外罢	对外吧
对现	兑现
对奕	对弈
对针下药	对症下药
对诊下药	对症下药
墩守	蹲守
钝厚	敦厚
顿罢	顿吧
遁辞	遁词
多采	多彩
多多的到	多多地到
多末	多么
哆唆	哆嗦
峨嵋	峨眉
额罢	额吧
额首称庆	额手称庆
恶罢	恶吧
恶惯满盈	恶贯满盈
恶灌满盈	恶贯满盈
恶耗	噩耗
恶做剧	恶作剧
饿孚	饿殍
饿俘	饿殍
饿莩	饿殍
饿浮	饿殍
儿同	儿童
儿嬉	儿戏
而象	而像
尔语我诈	尔虞我诈
耳根清静	耳根清净
耳括	耳刮
耳儒目染	耳濡目染
耳熏目染	耳濡目染
耳薰目染	耳熏目染
二簧	二黄
二么	二吗
贰心	二心
发罢	发吧
发号司令	发号施令
发楞	发愣
发人深醒	发人深省
发韧	发轫
发晌	发饷
发扬广大	发扬光大
发涨	发胀
法郎	法朗
法码	砝码
法厅	法庭
法廷	法庭
法西斯蒂	法西斯
番然悔悟	翻然悔悟
蕃篱	藩篱
蕃茄	番茄
蕃薯	番薯
蕃衍	繁衍
翻复	翻覆
翻来复去	翻来覆去
翻了一翻	翻了一番
翻然醒悟	幡然醒悟
烦操	烦躁
烦脑	烦恼
烦锁	烦琐
烦杂	繁杂
烦噪	烦躁
烦燥	烦躁
樊篱	藩篱
繁琐	烦琐
繁锁	繁琐
繁文溽节	繁文缛节
繁文褥节	繁文缛节
反唇相击	反唇相讥
反覆	反复
反工	返工
反来复去	翻来覆去
反来覆去	翻来覆去
反么	反吗
反聘	返聘
反璞归真	返璞归真
反应意见	反映意见
反云覆雨	翻云覆雨
返朴归真	返璞归真
犯的上	犯得上
犯的着	犯得着
犯地上	犯得上
犯地着	犯得着
犯而不较	犯而不校
饭罢	饭吧
饭捅	饭桶
饭帐	饭账
泛眼	眨眼
范筹	范畴
方柄圆凿	方枘圆凿
方象	方像
防碍	妨碍
防范于未然	防患于未然
防患未燃	防患未然
防微堵渐	防微杜渐
防微杜惭	防微杜渐
仿徨	彷徨
纺缍	纺锤
放心罢	放心吧
放帐	放账
飞机着落	飞机着陆
飞声	蜚声
飞扬拔户	飞扬跋扈
飞扬拔扈	飞扬跋扈
非常的惊讶	非常地惊讶
非常象	非常像
非分之想	非份之想
非律宾	菲律宾
非浅	匪浅
非象	非像
非夷所思	匪夷所思
非盈利组织	非营利组织
非州	非洲
绯恻	悱恻
蜚短流长	飞短流长
蜚然	斐然
匪疑所思	匪夷所思
诽夷所思	匪夷所思
斐声	蜚声
肺府	肺腑
肺俯	肺腑
肺腹	肺腑
肺腹之言	肺腑之言
废尽心思	费尽心思
废思量	费思量
废心	费心
费料	废料
费品	废品
费寝忘食	废寝忘食
费人	废人
费物	废物
分道扬标	分道扬镳
分道扬镖	分道扬镳
分付	吩咐
分岐	分歧
分廷抗礼	分庭抗礼
分庭抗理	分庭抗礼
分优	分忧
分帐	分账
纷歧	分歧
纷至踏来	纷至沓来
纷至踏耒	纷至沓耒
焚膏既晷	焚膏继晷
粉好	很好
粉沫	粉末
份量	分量
份内	分内
份外	分外
份子	分子
奋斗终身	奋斗终生
忿	愤
忿忿	愤愤
忿恨	愤恨
忿怒	愤怒
愤笔急书	奋笔疾书
愤发	奋发
愤发图强	奋发图强
愤愤不平	忿忿不平
愤概	愤慨
愤满	愤懑
愤闷	愤懑
愤世疾俗	愤世嫉俗
丰富多采	丰富多彩
丰功伟迹	丰功伟绩
风彩	风釆
风尘扑扑	风尘仆仆
风尘朴朴	风尘仆仆
风弛电掣	风驰电掣
风吹的	风吹得
风刮的	风刮得
风花雪夜	风花雪月
风凰	凤凰
风糜一时	风靡一时
风砂	风沙
风声鹤戾	风声鹤唳
风头罢	风头吧
风雨如悔	风雨如晦
风雨萧萧	风雨潇潇
风云变换	风云变幻
封妻阴子	封妻荫子
疯颠	疯癫
疯疯颠颠	疯疯癫癫
疯瘫	风瘫
疯子罢	疯子吧
峰颠	峰巅
峰火	烽火
峰利	锋利
峰峦迭翠	峰峦叠翠
锋芒必露	锋芒毕露
锋铓	锋芒
蜂呜	蜂鸣
蜂涌	蜂拥
蜂踊	蜂拥
逢承	奉承
逢制	缝制
缝罢	缝吧
凤冠霞佩	凤冠霞帔
凤冠霞珮	凤冠霞帔
凤冠霞披	凤冠霞帔
凤毛鳞角	凤毛麟角
奉场作戏	逢场作戏
奉场做戏	逢场作戏
奉场做戏	逢场做戏
奉禄	俸禄
奉迎	逢迎
否者	否则
夫倡妇随	夫唱妇随
夫倡妻随	夫唱妻随
伏伏帖帖	服服贴贴
伏侍	服侍
伏输	服输
伏罪	服罪
扶老偕幼	扶老携幼
扶养	抚养
苻号	符号
服法	伏法
服服帖帖	服服贴贴
服事	服侍
服伺	服侍
俘掳	俘虏
浮光略影	浮光掠影
浮水	凫水
浮图	浮屠
浮想连翩	浮想联翩
浮想联篇	浮想联翩
符会	附会
匐伏	匍匐
幅射	辐射
幅圆辽阔	幅员辽阔
辐凑	辐辏
福份	福分
抚模	抚摸
抚摩	抚摸
抚然	怃然
斧底抽薪	釜底抽薪
俯首帖耳	俯首贴耳
腑视	俯视
腐化坠落	腐化堕落
付罢	付吧
付了帐	付了账
付食	副食
付帐	付账
付账	付账
付之东流	付诸东流
付职	副职
负偶顽抗	负隅顽抗
负嵎顽抗	负隅顽抗
负作用	副作用
妇儒皆知	妇孺皆知
附号	符号
阜城门	阜成门
赴汤滔火	赴汤蹈火
复盖率	覆盖率
复没	覆没
复水难收	覆水难收
复辙	覆辙
副面	负面
副员辽阔	幅员辽阔
赋心	贼心
赋有使命	负有使命
赋于	赋予
赋与	赋予
傅会	附会
富丽唐皇	富丽堂皇
富丽堂黄	富丽堂皇
富丽堂惶	富丽堂皇
腹蛇	蝮蛇
覆命	复命
覆信	复信
嘎然	戛然
嘎然而止	戛然而止
该象	该像
改天罢	改天吧
改为明天罢	改为明天吧
改弦更章	改弦更张
改斜归正	改邪归正
改炫更张	改弦更张
甘败下风	甘拜下风
甘冒不讳	甘冒不韪
甘之如怡	甘之如饴
甘之若怡	甘之若饴
坩锅	坩埚
扞然	悍然
扞卫	捍卫
赶尽杀决	赶尽杀绝
赶路罢	赶路吧
敢象	敢像
感到难过罢	感到难过吧
感恩带德	感恩戴德
感恩载德	感恩戴德
感概	感慨
感觉的到过	感觉得到过
感觉的到了	感觉得到了
感觉的到着	感觉得到着
擀面仗	擀面杖
干罢	干吧
干吗	干嘛
干万	千万
干与	干预
刚腹自用	刚愎自用
纲纪废驰	纲纪废弛
钢蹦	钢镚
港叉	港汊
杠出	扛出
高潮叠起	高潮迭起
高官厚录	高官厚禄
高吭	高亢
高梁	高粱
高梁杆	高粱秆
高粱杆	高粱秆
高粱子弟	膏粱子弟
高品味	高品位
高屋建领	高屋建瓴
高压氧仓	高压氧舱
高瞻远嘱	高瞻远瞩
高枕无优	高枕无忧
膏梁子弟	膏粱子弟
膏育	膏肓
搞赏	犒赏
缟索	缟素
稿罢	稿吧
告罢	告吧
告戒	告诫
告磬	告罄
告馨	告罄
戈阳	弋阳
胳脯	胳膊
割绝	隔绝
歌特式	哥特式
歌舞生平	歌舞升平
革命罢	革命吧
格登	咯噔
格守	恪守
格吱	咯吱
隔璧	隔壁
隔隔不入	格格不入
隔三差五	隔三岔五
膈膜	隔膜
个罢	个吧
个象	个像
个中三味	个中三昧
各个保熟	个个保熟
各行其事	各行其是
各届	各界
各施其职	各司其职
各书己见	各抒己见
给我罢	给我吧
给我几个罢	给我几个吧
给我瞧罢	给我瞧吧
给于	给予
给与	给予
根抵	根底
根柢	根底
根深底固	根深蒂固
根深地固	根深蒂固
根深缔固	根深蒂固
跟贴	跟帖
亘石	亘古
埂咽	哽咽
梗咽	哽咽
梗直	耿直
鲠直	耿直
更叠	更迭
更古未有	亘古未有
更象	更像
工场	工厂
工夫片	功夫片
工力悉抵	工力悉敌
弓虽	强
公道罢	公道吧
公尔忘私	公而忘私
公伤事故	工伤事故
公有致	公有制
公帐	公账
功不可抹	功不可没
功亏一匮	功亏一篑
功亏一蒉	功亏一篑
功亏一溃	功亏一篑
功略	攻略
功于心计	工于心计
攻亏一篑	功亏一篑
攻势凌利	攻势凌厉
宫庭	宫廷
宫象	宫像
恭唯	恭维
恭惟	恭维
恭正	工整
觥畴交错	觥筹交错
拱托	烘托
共渡难关	共度难关
共商国事	共商国是
供献	贡献
勾对	勾兑
勾划	勾画
勾联	勾连
勾悄	勾销
勾通	沟通
勾通南北	沟通南北
勾针	钩针
抅肩搭背	勾肩搭背
钩勒	勾勒
钩心斗角	勾心斗角
钩鱼	钓鱼
垢病	诟病
够的上	够得上
够地上	够得上
够戗	够呛
够呛	够戗
估名钓誉	沽名钓誉
估且	姑且
估息	姑息
咕都	咕嘟
沽恶不悛	怙恶不悛
沽名掉誉	沽名钓誉
孤芳自偿	孤芳自赏
孤负	辜负
孤苦零丁	孤苦伶仃
孤伶伶	孤零零
孤另另	孤零零
孤形	弧形
孤柱一掷	孤注一掷
轱轳	轱辘
毂辘	轱辘
古磁	古瓷
汩罗	汨罗
股分	股份
骨董	古董
骨胳	骨骼
骨瘦如豺	骨瘦如柴
鼓锤	鼓槌
鼓惑人心	蛊惑人心
鼓涨	鼓胀
固步自封	故步自封
固持己见	固执己见
固疾	痼疾
故罢	故吧
故步自封	固步自封
故技	故伎
故名思义	顾名思义
故弄悬虚	故弄玄虚
故然	固然
顾名钓誉	沽名钓誉
锢疾	痼疾
刮刮叫	呱呱叫
刮啦刮啦	呱啦呱啦
寡不抵众	寡不敌众
挂挡	挂档
挂勾	挂钩
挂帐	挂账
乖的像	乖得像
乖地像	乖得像
拐脚	拐角
拐仗	拐杖
怪罢	怪吧
怪不的	怪不得
怪不地	怪不得
关迸	关进
关关睢鸠	关关雎鸠
关怀倍至	关怀备至
关健	关键
关连	关联
关与	关于
观磨	观摩
观注	关注
官燎	官僚
官冕堂皇	冠冕堂皇
官象	官像
棺惇	棺椁
管罢	管吧
管帐	管账
贯例	惯例
贯输	灌输
贯用	惯用
冠勉堂皇	冠冕堂皇
惯罢	惯吧
惯彻	贯彻
光采	光彩
光和作用	光合作用
光晖	光辉
光茫	光芒
广洲	广州
逛罢	逛吧
归根结柢	归根结底
归根结蒂	归根结底
规化	规划
规画	规划
规戒	规诫
规距	规矩
诡密	诡秘
鬼斧神功	鬼斧神工
鬼鬼崇崇	鬼鬼祟祟
鬼话联翩	鬼话连篇
鬼计	诡计
鬼哭狼嗥	鬼哭狼嚎
鬼哭狼号	鬼哭狼嚎
鬼秘	诡秘
鬼密	诡秘
鬼域伎俩	鬼蜮伎俩
贵任	责任
贵胃	贵胄
衮州	兖州
滚粗	滚出去
滚子	磙子
聒燥	聒噪
锅帖	锅贴
国萃	国粹
国籓	国藩
国藉	国籍
国拣	国栋
裹腹	果腹
过度时期	过渡时期
过份	过分
过么	过吗
过象	过像
过一天罢	过一天吧
过尤不及	过犹不及
哈尔缤	哈尔滨
哈蟆	蛤蟆
哈蜜瓜	哈密瓜
还壁归赵	还璧归赵
还帐	还账
孩啼时代	孩提时代
孩纸	孩子
海参威	海参崴
海甸	海淀
海洛英	海洛因
海昧	海味
害罢	害吧
害燥	害臊
害躁	害臊
酣声	鼾声
鼾然	酣然
鼾睡	酣睡
含盖	涵盖
含胡	含糊
含糊的叫了	含糊地叫了
含糊其词	含糊其辞
含辛菇苦	含辛茹苦
含辛如苦	含辛茹苦
含养	涵养
函养	涵养
涵授	函授
涵蓄	含蓄
涵义	含义
韩复渠	韩复榘
寒伧	寒碜
寒颤	寒战
寒伦	寒碜
寒署	寒暑
寒喧	寒暄
汗流夹背	汗流浃背
翰海	瀚海
瀚林	翰林
行罢	行吧
行么	行吗
行为不规	行为不轨
行伍出生	行伍出身
杭议	抗议
沆泄一气	沆瀣一气
蒿山	嵩山
毫无疑议	毫无疑义
毫县	亳县
毫言壮语	豪言壮语
毫州	亳州
豪不	毫不
豪堵	豪赌
豪坤	豪绅
嚎咷	号啕
嚎陶	嚎啕
嚎啕	号啕
好叭	好吧
好罢	好吧
好苯	好笨
好高务远	好高骛远
好好的巴结	好好地巴结
好好的干	好好地干
好好的静养	好好地静养
好好的说	好好地说
好好的学	好好地学
好好的养	好好地养
好好的照顾	好好地照顾
好好的治	好好地治
好好干罢	好好干吧
好景不常	好景不长
好么	好吗
好象	好像
号咷	号啕
号陶	嚎啕
浩翰	浩瀚
浩淼	浩渺
呵欠	哈欠
呵腰	哈腰
喝采	喝彩
喝茶罢	喝茶吧
喝倒采	喝倒彩
喝酒罢	喝酒吧
喝水罢	喝水吧
喝一口罢	喝一口吧
合睦	和睦
合盘托出	和盘托出
合枪实弹	荷枪实弹
合式	合适
合谐	和谐
合衷共济	和衷共济
和霭	和蔼
和盘拖出	和盘托出
和情和理	合情合理
和事老	和事佬
和协	和谐
和蟹	和谐
和言悦色	和颜悦色
河叉	河汊
河塘	荷塘
阂家	阖家
阂上	合上
荷里活	好莱坞
荷泽	菏泽
涸泽而鱼	涸泽而渔
颌首	颔首
阖不	合不
贺辞	贺词
鹤戾	鹤唳
黑咕隆冬	黑咕隆咚
黑古龙冬	黑咕隆咚
黑古隆冬	黑咕隆咚
黑鼓隆咚	黑咕隆咚
黑鸦鸦	黑压压
黑呀呀	黑压压
痕记	痕迹
很象	很像
狠狈	狼狈
恨不的	恨不得
恨不地	恨不得
亨受	享受
哼哼叽叽	哼哼唧唧
哼卿	哼唧
横冲直闯	横冲直撞
横度长江	横渡长江
横杆	横竿
横眉厉目	横眉立目
横征暴殓	横征暴敛
轰堂大笑	哄堂大笑
轰笑	哄笑
弘论	宏论
弘图	宏图
弘愿	宏愿
弘旨	宏旨
红通通	红彤彤
红焰焰	红艳艳
红运	鸿运
宏福	洪福
宏厚	浑厚
宏亮	洪亮
宏亮	洪量
宏扬	弘扬
洪沟	鸿沟
洪篇巨制	鸿篇巨制
鸿福	洪福
鸿图	宏图
哄动	轰动
侯补	候补
侯车室	候车室
侯机	候机
侯选	候选
后补	候补
后发治人	后发制人
后顾之优	后顾之忧
后悔莫急	后悔莫及
后象	后象
后选人	候选人
后帐	后账
候爵	侯爵
候门似海	侯门似海
呼吃	呼哧
呼蚩	呼哧
呼嗤	呼哧
呼哨	唿哨
忽然开朗	豁然开朗
狐度	弧度
狐死首邱	狐死首丘
弧舟	孤舟
胡臭	狐臭
胡蝶	蝴蝶
胡里胡涂	糊里糊涂
胡弄	糊弄
胡哨	唿哨
胡涂	糊涂
胡渣	胡茬
胡楂	胡茬
胡子拉叉	胡子拉碴
葫萝卜	胡萝卜
鹄首穷经	皓首穷经
湖涂	糊涂
糊涂的陪	糊涂地陪
糊涂帐	糊涂账
糊徐	糊涂
虎怅	虎伥
虎据龙盘	虎踞龙盘
虎魄	琥珀
虎视眈耽	虎视眈眈
虎视耽耽	虎视眈眈
户口薄	户口簿
护档	护栏
沪沟桥	卢沟桥
沪洲	泸州
怙恶不俊	怙恶不悛
花刺子模	花剌子模
花的很	花得很
花冈岩	花岗岩
花蓝	花篮
花狸狐哨	花里胡哨
花俏	花哨
花梢	花哨
花稍	花哨
花消	花销
花着	花招
划地为牢	画地为牢
划押	画押
华陀	华佗
哗拉	哗啦
哗喇	哗啦
化学反映	化学反应
画券	画卷
话罢	话吧
话碴	话茬
徊肠荡气	回肠荡气
淮敲	推敲
欢渡春节	欢度春节
欢渡新春	欢度新春
欢呼鹊跃	欢呼雀跃
欢心鼓舞	欢欣鼓舞
换挡	换档
换的很	换得很
换的太	换得太
换然一新	焕然一新
涣然一新	焕然一新
焕然冰释	涣然冰释
焕散	涣散
肓目	盲目
荒诞不精	荒诞不经
慌恐	惶恐
黄历	皇历
黄莲	黄连
黄梁	黄粱
黄埔江	黄浦江
黄浦军校	黄埔军校
徨徨	惶惶
煌煌巨著	皇皇巨著
恍忽	恍惚
晃然大悟	恍然大悟
晃子	幌子
谎诞	荒诞
谎谬	荒谬
灰黯	灰暗
灰常	非常
灰飞湮灭	灰飞烟灭
挥罢	挥吧
恢宏	恢弘
恢夏	恢复
恢谐	诙谐
晖煌	辉煌
晖映	辉映
徽笑	微笑
回改	悔改
回光反照	回光返照
回家罢	回家吧
回贴	回帖
回头罢	回头吧
回讯	回信
回一声罢	回一声吧
迴荡	回荡
迴音	回音
悔莫如深	讳莫如深
悔人不倦	诲人不倦
毁家抒难	毁家纾难
汇萃	荟萃
汇会	融会
汇奇	汇寄
会罢	会吧
会萃	荟萃
会了帐	会了账
会么	会吗
会悟	会晤
会象	会像
会帐	会账
荟翠	荟萃
烩灸人口	脍炙人口
烩炙人口	脍炙人口
惠眼	慧眼
慧星	彗星
殨脓	溃脓
昏黯	昏暗
昏昏噩噩	浑浑噩噩
昏蹶	昏厥
昏馈	昏愦
昏馈	昏聩
昏馈无能	昏聩无能
昏聩	昏愦
昏浊	混浊
浑沌	混沌
浑号	诨号
浑浑恶恶	浑浑噩噩
浑玉朴金	浑玉璞金
浑浊	混浊
混然一体	浑然一体
混身	浑身
混水摸鱼	浑水摸鱼
混饨	混沌
混为一团	混为一谈
混帐	混账
魂淡	浑蛋
豁拳	划拳
活的好	活得好
活的很	活得很
活的特	活得特
活象	活像
火伴	伙伴
火并	火拼
火力侦查	火力侦察
火山暴发	火山爆发
火势慢延	火势蔓延
火中取粟	火中取栗
获益非浅	获益匪浅
祸国秧民	祸国殃民
击跨	击垮
击起	激起
击沈	击沉
击浊扬清	激浊扬清
叽叽嘎嘎	唧唧嘎嘎
饥慌	饥荒
机罢	机吧
机仓	机舱
机伶	机灵
机率	几率
肌饿	饥饿
鸡旦	鸡蛋
积毁消骨	积毁销骨
积思广益	集思广益
积腋成裘	集腋成裘
积重难反	积重难返
姬亲	姬妾
基矗	基础
激奋	激愤
激忿	激愤
激文	檄文
羁拌	羁绊
羁靡	羁縻
及不可待	急不可待
及及可危	岌岌可危
吉人天象	吉人天相
吉详	吉祥
极象	极像
即来之	既来之
即然	既然
即已	既已
佶屈骛牙	佶屈聱牙
亟需	急需
急不可奈	急不可耐
急待	亟待
急风劲草	疾风劲草
急急可危	岌岌可危
急流勇退	激流勇退
急驶	疾驶
急书	疾书
急言厉色	疾言厉色
急燥	急躁
疾恶如仇	嫉恶如仇
疾忙	急忙
疾贤妒能	妒贤嫉能
集毁销骨	积毁销骨
集结成书	结集成书
集液成裘	集腋成裘
辑逸	辑佚
嫉忌	嫉妒
几半	几瓣
几大捅	几大桶
几迭	几叠
己经	已经
挤对	挤兑
挤挤一堂	济济一堂
挤身	跻身
计罢	计吧
计画	计划
计日成功	计日程功
计时收费	记时收费
记的很	记得很
记录片	纪录片
记念	纪念
记要	纪要
记忆尤新	记忆犹新
记帐	记账
技俩	伎俩
迹像	迹象
既使	即使
既往不纠	既往不咎
既往不究	既往不咎
既往不疚	既往不咎
既往不就	既往不咎
既往不绺	既往不咎
既往开来	继往开来
继往不究	既往不咎
寄与	寄予
寂莫	寂寞
加奖	嘉奖
佳宾	嘉宾
佳言懿行	嘉言懿行
挟菜	夹菜
挟带	夹带
家常里短	家长里短
家俱	家具
家破人亡	家迫人亡
家徒四避	家徒四壁
袈娑	袈裟
傢俱	家具
夹肢窝	胳肢窝
甲克虫	甲壳虫
甲胃	甲胄
价罢	价吧
价格不斐	价格不菲
价值连成	价值连城
驾开	架开
驾奴	驾驭
驾御	驾驭
架式	架势
嫁装	嫁妆
稼墙	稼穑
尖坚	坚强
坚璧	坚壁
坚待	坚持
坚苦	艰苦
坚难	艰难
坚忍	坚韧
坚特	坚持
坚辛	艰辛
肩膊	肩膀
肩抗	肩扛
肩脾	肩膀
艰壁清野	坚壁清野
艰不可摧	坚不可摧
艰苦倍尝	艰苦备尝
拣破烂	捡破烂
拣起	捡起
捡选	拣选
检查院	检察院
检察站	检查站
检出	拣出
趼子	茧子
减轻税负	减轻税赋
剪材	剪裁
简洁方便	简捷方便
简炼	简练
简漏	简陋
简直象	简直像
翦除	剪除
见罢	见吧
见谅	鉴谅
见么	见吗
见人见智	见仁见智
见危知著	见微知著
建殴	建瓯
贱坯	贱胚
贱踏	践踏
剑拔驽张	剑拔弩张
剑拔怒张	剑拔弩张
渐惭	渐渐
鉴订	签订
键牛	犍牛
箭拔弩张	剑拔弩张
箭簇	箭镞
将介石	蒋介石
姜未	姜末
讲意气	讲义气
蒋光鼎	蒋光鼐
降龙服虎	降龙伏虎
降致	降至
降尊行贵	降尊纡贵
交插	交叉
交待	交代
交会	交汇
交帐	交账
娇嘀嘀	娇滴滴
娇娇者	佼佼者
娇柔造作	矫揉造作
娇揉造作	矫揉造作
娇阳	骄阳
姣姣者	佼佼者
骄兵之气娇	
骄健	矫健
骄骄者	佼佼者
骄揉造作	矫揉造作
骄奢淫佚	骄奢淫逸
焦燥	焦躁
蕉萃	憔悴
佼洁	皎洁
狡滑	狡猾
狡免	狡兔
狡默	狡黠
饺子陷	饺子馅
矫柔造作	矫揉造作
矫糅造作	矫揉造作
矫妄过正	矫枉过正
矫子	骄子
皎皎者	佼佼者
脚根	脚跟
脚门	角门
脚色	角色
脚鸭子	脚丫子
脚指	脚趾
剿穴	巢穴
叫化子	叫花子
叫兽	教授
叫真	较真
叫作	叫做
觉查	觉察
教肓	教育
教悔	教诲
教梭	教唆
教庭	教廷
醮水	蘸水
皆日	皆曰
接岔	接茬
接果	结果
接恰	接洽
接长补短	截长补短
接踪而来	接踵而来
秸杆	秸秆
揭杆	揭竿
揭迷	揭秘
揭谜	揭秘
揭密	揭秘
嗟商	蹉商
节哀顺便	节哀顺变
节门	截门
洁白无暇	洁白无瑕
洁然一身	孑然一身
结吧	结巴
结合部	接合部
结结吧吧	结结巴巴
结面	结账
结帐	结账
桀傲	桀骜
桀傲不驯	桀骜不驯
截长补短	接长补短
截止目前	截至目前
竭见	谒见
竭泽而鱼	竭泽而渔
解渴罢	解渴吧
解闷罢	解闷吧
解迷	解密
解秘	解密
介面	界面
介人	介入
介绍罢	介绍吧
介绍一个罢	介绍一个吧
介意罢	介意吧
戒骄戒燥	戒骄戒躁
界罢	界吧
界入	介入
界于	介于
借戒	借鉴
巾国	巾帼
今夭	今天
金榜提名	金榜题名
金壁辉煌	金碧辉煌
金钢	金刚
金钢钻	金刚钻
金欧	金瓯
金殴	金瓯
金石可褛	金石可镂
金子塔	金字塔
矜恃	矜持
仅管	尽管
紧罢	紧吧
紧怅	紧张
紧紧的粘	紧紧地粘
紧临	紧邻
紧帖	紧贴
锦秀山河	锦绣山河
锦锈	锦绣
谨滇	谨慎
谨填	谨慎
尽净	净尽
尽人皆知	人尽皆知
尽心极力	尽心竭力
进城罢	进城吧
进裂	迸裂
进退为谷	进退维谷
进帐	进账
近罢	近吧
近近的跟	近近地跟
